GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,"Estimate; Taxicab, motorcycle, or other means","Margin of Error; Taxicab, motorcycle, or other means",Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male:,Margin of Error; Male:,"Estimate; Male: - Car, truck, or van:","Margin of Error; Male: - Car, truck, or van:","Estimate; Male: - Car, truck, or van: - Drove alone","Margin of Error; Male: - Car, truck, or van: - Drove alone","Estimate; Male: - Car, truck, or van: - Carpooled:","Margin of Error; Male: - Car, truck, or van: - Carpooled:","Estimate; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Male: - Public transportation (excluding taxicab):,Margin of Error; Male: - Public transportation (excluding taxicab):,Estimate; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Male: - Bicycle,Margin of Error; Male: - Bicycle,Estimate; Male: - Walked,Margin of Error; Male: - Walked,"Estimate; Male: - Taxicab, motorcycle, or other means","Margin of Error; Male: - Taxicab, motorcycle, or other means",Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female:,Margin of Error; Female:,"Estimate; Female: - Car, truck, or van:","Margin of Error; Female: - Car, truck, or van:","Estimate; Female: - Car, truck, or van: - Drove alone","Margin of Error; Female: - Car, truck, or van: - Drove alone","Estimate; Female: - Car, truck, or van: - Carpooled:","Margin of Error; Female: - Car, truck, or van: - Carpooled:","Estimate; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Female: - Public transportation (excluding taxicab):,Margin of Error; Female: - Public transportation (excluding taxicab):,Estimate; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Female: - Bicycle,Margin of Error; Female: - Bicycle,Estimate; Female: - Walked,Margin of Error; Female: - Walked,"Estimate; Female: - Taxicab, motorcycle, or other means","Margin of Error; Female: - Taxicab, motorcycle, or other means",Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
1600000US5548000,5548000,"Madison city, Wisconsin",120113,4391,89372,4366,78174,4116,11198,1741,8911,1713,1942,693,345,263,10501,1594,10401,1576,49,81,51,83,0,211,0,211,4379,894,11702,1755,877,439,3282,651,60196,2952,45174,2985,39847,2782,5327,1024,3789,965,1239,615,299,254,5687,1067,5638,1064,49,81,0,211,0,211,0,211,2353,693,5274,1185,423,289,1285,432,59917,2874,44198,2667,38327,2497,5871,1194,5122,1140,703,329,46,75,4814,1125,4763,1114,0,211,51,83,0,211,0,211,2026,595,6428,1326,454,363,1997,524
