GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Total: - Car, truck, or van:"
HD02_VD03,"Margin of Error; Total: - Car, truck, or van:"
HD01_VD04,"Estimate; Total: - Car, truck, or van: - Drove alone"
HD02_VD04,"Margin of Error; Total: - Car, truck, or van: - Drove alone"
HD01_VD05,"Estimate; Total: - Car, truck, or van: - Carpooled:"
HD02_VD05,"Margin of Error; Total: - Car, truck, or van: - Carpooled:"
HD01_VD06,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD06,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD07,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD07,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD08,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD08,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD09,Estimate; Total: - Public transportation (excluding taxicab):
HD02_VD09,Margin of Error; Total: - Public transportation (excluding taxicab):
HD01_VD10,Estimate; Total: - Public transportation (excluding taxicab): - Bus or trolley bus
HD02_VD10,Margin of Error; Total: - Public transportation (excluding taxicab): - Bus or trolley bus
HD01_VD11,Estimate; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD02_VD11,Margin of Error; Total: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD01_VD12,Estimate; Total: - Public transportation (excluding taxicab): - Subway or elevated
HD02_VD12,Margin of Error; Total: - Public transportation (excluding taxicab): - Subway or elevated
HD01_VD13,Estimate; Total: - Public transportation (excluding taxicab): - Railroad
HD02_VD13,Margin of Error; Total: - Public transportation (excluding taxicab): - Railroad
HD01_VD14,Estimate; Total: - Public transportation (excluding taxicab): - Ferryboat
HD02_VD14,Margin of Error; Total: - Public transportation (excluding taxicab): - Ferryboat
HD01_VD15,Estimate; Total: - Bicycle
HD02_VD15,Margin of Error; Total: - Bicycle
HD01_VD16,Estimate; Total: - Walked
HD02_VD16,Margin of Error; Total: - Walked
HD01_VD17,"Estimate; Total: - Taxicab, motorcycle, or other means"
HD02_VD17,"Margin of Error; Total: - Taxicab, motorcycle, or other means"
HD01_VD18,Estimate; Total: - Worked at home
HD02_VD18,Margin of Error; Total: - Worked at home
HD01_VD19,Estimate; Total: - Male:
HD02_VD19,Margin of Error; Total: - Male:
HD01_VD20,"Estimate; Total: - Male: - Car, truck, or van:"
HD02_VD20,"Margin of Error; Total: - Male: - Car, truck, or van:"
HD01_VD21,"Estimate; Total: - Male: - Car, truck, or van: - Drove alone"
HD02_VD21,"Margin of Error; Total: - Male: - Car, truck, or van: - Drove alone"
HD01_VD22,"Estimate; Total: - Male: - Car, truck, or van: - Carpooled:"
HD02_VD22,"Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled:"
HD01_VD23,"Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD23,"Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD24,"Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD24,"Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD25,"Estimate; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD25,"Margin of Error; Total: - Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD26,Estimate; Total: - Male: - Public transportation (excluding taxicab):
HD02_VD26,Margin of Error; Total: - Male: - Public transportation (excluding taxicab):
HD01_VD27,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus
HD02_VD27,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Bus or trolley bus
HD01_VD28,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD02_VD28,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD01_VD29,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated
HD02_VD29,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Subway or elevated
HD01_VD30,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Railroad
HD02_VD30,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Railroad
HD01_VD31,Estimate; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat
HD02_VD31,Margin of Error; Total: - Male: - Public transportation (excluding taxicab): - Ferryboat
HD01_VD32,Estimate; Total: - Male: - Bicycle
HD02_VD32,Margin of Error; Total: - Male: - Bicycle
HD01_VD33,Estimate; Total: - Male: - Walked
HD02_VD33,Margin of Error; Total: - Male: - Walked
HD01_VD34,"Estimate; Total: - Male: - Taxicab, motorcycle, or other means"
HD02_VD34,"Margin of Error; Total: - Male: - Taxicab, motorcycle, or other means"
HD01_VD35,Estimate; Total: - Male: - Worked at home
HD02_VD35,Margin of Error; Total: - Male: - Worked at home
HD01_VD36,Estimate; Total: - Female:
HD02_VD36,Margin of Error; Total: - Female:
HD01_VD37,"Estimate; Total: - Female: - Car, truck, or van:"
HD02_VD37,"Margin of Error; Total: - Female: - Car, truck, or van:"
HD01_VD38,"Estimate; Total: - Female: - Car, truck, or van: - Drove alone"
HD02_VD38,"Margin of Error; Total: - Female: - Car, truck, or van: - Drove alone"
HD01_VD39,"Estimate; Total: - Female: - Car, truck, or van: - Carpooled:"
HD02_VD39,"Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled:"
HD01_VD40,"Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD40,"Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD41,"Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD41,"Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD42,"Estimate; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD42,"Margin of Error; Total: - Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD43,Estimate; Total: - Female: - Public transportation (excluding taxicab):
HD02_VD43,Margin of Error; Total: - Female: - Public transportation (excluding taxicab):
HD01_VD44,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus
