GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD44,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Bus or trolley bus
HD01_VD45,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD02_VD45,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD01_VD46,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated
HD02_VD46,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Subway or elevated
HD01_VD47,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Railroad
HD02_VD47,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Railroad
HD01_VD48,Estimate; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat
HD02_VD48,Margin of Error; Total: - Female: - Public transportation (excluding taxicab): - Ferryboat
HD01_VD49,Estimate; Total: - Female: - Bicycle
HD02_VD49,Margin of Error; Total: - Female: - Bicycle
HD01_VD50,Estimate; Total: - Female: - Walked
HD02_VD50,Margin of Error; Total: - Female: - Walked
HD01_VD51,"Estimate; Total: - Female: - Taxicab, motorcycle, or other means"
HD02_VD51,"Margin of Error; Total: - Female: - Taxicab, motorcycle, or other means"
HD01_VD52,Estimate; Total: - Female: - Worked at home
HD02_VD52,Margin of Error; Total: - Female: - Worked at home
