GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Car, truck, or van:"
HD02_VD03,"Margin of Error; Car, truck, or van:"
HD01_VD05,Estimate; Drove alone
HD02_VD05,Margin of Error; Drove alone
HD01_VD06,Estimate; Carpooled:
HD02_VD06,Margin of Error; Carpooled:
HD01_VD07,Estimate; Carpooled: - In 2-person carpool
HD02_VD07,Margin of Error; Carpooled: - In 2-person carpool
HD01_VD08,Estimate; Carpooled: - In 3-person carpool
HD02_VD08,Margin of Error; Carpooled: - In 3-person carpool
HD01_VD09,Estimate; Carpooled: - In 4-or-more-person carpool
HD02_VD09,Margin of Error; Carpooled: - In 4-or-more-person carpool
HD01_VD10,Estimate; Public transportation (excluding taxicab):
HD02_VD10,Margin of Error; Public transportation (excluding taxicab):
HD01_VD11,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus
HD02_VD11,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus
HD01_VD12,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD02_VD12,Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD01_VD13,Estimate; Public transportation (excluding taxicab): - Subway or elevated
HD02_VD13,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated
HD01_VD14,Estimate; Public transportation (excluding taxicab): - Railroad
HD02_VD14,Margin of Error; Public transportation (excluding taxicab): - Railroad
HD01_VD15,Estimate; Public transportation (excluding taxicab): - Ferryboat
HD02_VD15,Margin of Error; Public transportation (excluding taxicab): - Ferryboat
HD01_VD16,Estimate; Bicycle
HD02_VD16,Margin of Error; Bicycle
HD01_VD17,Estimate; Walked
HD02_VD17,Margin of Error; Walked
HD01_VD18,"Estimate; Taxicab, motorcycle, or other means"
HD02_VD18,"Margin of Error; Taxicab, motorcycle, or other means"
HD01_VD19,Estimate; Worked at home
HD02_VD19,Margin of Error; Worked at home
HD01_VD20,Estimate; Male:
HD02_VD20,Margin of Error; Male:
HD01_VD21,"Estimate; Male: - Car, truck, or van:"
HD02_VD21,"Margin of Error; Male: - Car, truck, or van:"
HD01_VD22,"Estimate; Male: - Car, truck, or van: - Drove alone"
HD02_VD22,"Margin of Error; Male: - Car, truck, or van: - Drove alone"
HD01_VD23,"Estimate; Male: - Car, truck, or van: - Carpooled:"
HD02_VD23,"Margin of Error; Male: - Car, truck, or van: - Carpooled:"
HD01_VD24,"Estimate; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD24,"Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD25,"Estimate; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD25,"Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD26,"Estimate; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD26,"Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD27,Estimate; Male: - Public transportation (excluding taxicab):
HD02_VD27,Margin of Error; Male: - Public transportation (excluding taxicab):
HD01_VD28,Estimate; Male: - Public transportation (excluding taxicab): - Bus or trolley bus
HD02_VD28,Margin of Error; Male: - Public transportation (excluding taxicab): - Bus or trolley bus
HD01_VD29,Estimate; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD02_VD29,Margin of Error; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD01_VD30,Estimate; Male: - Public transportation (excluding taxicab): - Subway or elevated
HD02_VD30,Margin of Error; Male: - Public transportation (excluding taxicab): - Subway or elevated
HD01_VD31,Estimate; Male: - Public transportation (excluding taxicab): - Railroad
HD02_VD31,Margin of Error; Male: - Public transportation (excluding taxicab): - Railroad
HD01_VD32,Estimate; Male: - Public transportation (excluding taxicab): - Ferryboat
HD02_VD32,Margin of Error; Male: - Public transportation (excluding taxicab): - Ferryboat
HD01_VD33,Estimate; Male: - Bicycle
HD02_VD33,Margin of Error; Male: - Bicycle
HD01_VD34,Estimate; Male: - Walked
HD02_VD34,Margin of Error; Male: - Walked
HD01_VD35,"Estimate; Male: - Taxicab, motorcycle, or other means"
HD02_VD35,"Margin of Error; Male: - Taxicab, motorcycle, or other means"
HD01_VD36,Estimate; Male: - Worked at home
HD02_VD36,Margin of Error; Male: - Worked at home
HD01_VD37,Estimate; Female:
HD02_VD37,Margin of Error; Female:
HD01_VD38,"Estimate; Female: - Car, truck, or van:"
HD02_VD38,"Margin of Error; Female: - Car, truck, or van:"
HD01_VD39,"Estimate; Female: - Car, truck, or van: - Drove alone"
HD02_VD39,"Margin of Error; Female: - Car, truck, or van: - Drove alone"
HD01_VD40,"Estimate; Female: - Car, truck, or van: - Carpooled:"
HD02_VD40,"Margin of Error; Female: - Car, truck, or van: - Carpooled:"
HD01_VD41,"Estimate; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD41,"Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD42,"Estimate; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD42,"Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD43,"Estimate; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD43,"Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD44,Estimate; Female: - Public transportation (excluding taxicab):
HD02_VD44,Margin of Error; Female: - Public transportation (excluding taxicab):
HD01_VD45,Estimate; Female: - Public transportation (excluding taxicab): - Bus or trolley bus
HD02_VD45,Margin of Error; Female: - Public transportation (excluding taxicab): - Bus or trolley bus
HD01_VD46,Estimate; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD02_VD46,Margin of Error; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico)
HD01_VD47,Estimate; Female: - Public transportation (excluding taxicab): - Subway or elevated
HD02_VD47,Margin of Error; Female: - Public transportation (excluding taxicab): - Subway or elevated
HD01_VD48,Estimate; Female: - Public transportation (excluding taxicab): - Railroad
HD02_VD48,Margin of Error; Female: - Public transportation (excluding taxicab): - Railroad
HD01_VD49,Estimate; Female: - Public transportation (excluding taxicab): - Ferryboat
HD02_VD49,Margin of Error; Female: - Public transportation (excluding taxicab): - Ferryboat
HD01_VD50,Estimate; Female: - Bicycle
HD02_VD50,Margin of Error; Female: - Bicycle
